Generation,S,E,I,R
Gen.0,9995,4,1,0
Gen.1,9987,8,5,0
Gen.2,9975,12,12,1
Gen.3,9960,16,20,4
Gen.4,9943,21,28,8
Gen.5,9923,28,37,12
Gen.6,9899,36,49,16
Gen.7,9871,44,64,21
Gen.8,9840,52,80,28
Gen.9,9807,61,96,36
Gen.10,9771,72,113,44
Gen.11,9731,84,133,52
Gen.12,9687,96,156,61
Gen.13,9640,108,180,72
Gen.14,9591,121,204,84
Gen.15,9539,136,229,96
Gen.16,9483,152,257,108
Gen.17,9423,168,288,121
Gen.18,9360,184,320,136
Gen.19,9295,201,352,152
Gen.20,9227,220,385,168
Gen.21,9155,240,421,184
Gen.22,9079,260,460,201
Gen.23,9000,280,500,220
Gen.24,8919,301,540,240
Gen.25,8835,324,581,260
Gen.26,8747,348,625,280
Gen.27,8655,372,672,301
Gen.28,8560,396,720,324
Gen.29,8463,421,768,348
Gen.30,8363,448,817,372
Gen.31,8259,476,869,396
Gen.32,8151,504,924,421
Gen.33,8040,532,980,448
Gen.34,7927,561,1036,476
Gen.35,7811,592,1093,504
Gen.36,7691,624,1153,532
Gen.37,7567,656,1216,561
Gen.38,7440,688,1280,592
Gen.39,7311,721,1344,624
Gen.40,7179,756,1409,656
Gen.41,7043,792,1477,688
Gen.42,6903,828,1548,721
Gen.43,6760,864,1620,756
Gen.44,6615,901,1692,792
Gen.45,6467,940,1765,828
Gen.46,6315,980,1841,864
Gen.47,6159,1020,1920,901
Gen.48,6000,1060,2000,940
Gen.49,5841,1099,2080,980
Gen.50,5685,1136,2159,1020
Gen.51,5533,1172,2235,1060
Gen.52,5385,1208,2308,1099
Gen.53,5240,1244,2380,1136
Gen.54,5097,1279,2452,1172
Gen.55,4957,1312,2523,1208
Gen.56,4821,1344,2591,1244
Gen.57,4689,1376,2656,1279
Gen.58,4560,1408,2720,1312
Gen.59,4433,1439,2784,1344
Gen.60,4309,1468,2847,1376
Gen.61,4189,1496,2907,1408
Gen.62,4073,1524,2964,1439
Gen.63,3960,1552,3020,1468
Gen.64,3849,1579,3076,1496
Gen.65,3741,1604,3131,1524
Gen.66,3637,1628,3183,1552
Gen.67,3537,1652,3232,1579
Gen.68,3440,1676,3280,1604
Gen.69,3345,1699,3328,1628
Gen.70,3253,1720,3375,1652
Gen.71,3165,1740,3419,1676
Gen.72,3081,1760,3460,1699
Gen.73,3000,1780,3500,1720
Gen.74,2921,1799,3540,1740
Gen.75,2845,1816,3579,1760
Gen.76,2773,1832,3615,1780
Gen.77,2705,1848,3648,1799
Gen.78,2640,1864,3680,1816
Gen.79,2577,1879,3712,1832
Gen.80,2517,1892,3743,1848
Gen.81,2461,1904,3771,1864
Gen.82,2409,1916,3796,1879
Gen.83,2360,1928,3820,1892
Gen.84,2313,1939,3844,1904
Gen.85,2269,1948,3867,1916
Gen.86,2229,1956,3887,1928
Gen.87,2193,1964,3904,1939
Gen.88,2160,1972,3920,1948
Gen.89,2129,1979,3936,1956
Gen.90,2101,1984,3951,1964
Gen.91,2077,1988,3963,1972
Gen.92,2057,1992,3972,1979
Gen.93,2040,1996,3980,1984
Gen.94,2025,1999,3988,1988
Gen.95,2013,2000,3995,1992
Gen.96,2005,2000,3999,1996
Gen.97,2001,2000,4000,1999
Gen.98,2000,2000,4000,2000
Gen.99,2000,2000,4000,2000
Gen.100,2000,2000,4000,2000
Gen.101,2000,2000,4000,2000
Gen.102,2000,2000,4000,2000
Gen.103,2000,2000,4000,2000
Gen.104,2000,2000,4000,2000
Gen.105,2000,2000,4000,2000
Gen.106,2000,2000,4000,2000
Gen.107,2000,2000,4000,2000
Gen.108,2000,2000,4000,2000
Gen.109,2000,2000,4000,2000
