Generation,S,E,I,R
Gen.0,9991,8,1,0
Gen.1,9975,16,9,0
Gen.2,9951,24,24,1
Gen.3,9920,32,40,8
Gen.4,9887,41,56,16
Gen.5,9847,56,73,24
Gen.6,9799,72,97,32
Gen.7,9743,88,128,41
Gen.8,9680,104,160,56
Gen.9,9615,121,192,72
Gen.10,9543,144,225,88
Gen.11,9463,168,265,104
Gen.12,9375,192,312,121
Gen.13,9280,216,360,144
Gen.14,9183,241,408,168
Gen.15,9079,272,457,192
Gen.16,8967,304,513,216
Gen.17,8847,336,576,241
Gen.18,8720,368,640,272
Gen.19,8591,401,704,304
Gen.20,8455,440,769,336
Gen.21,8311,480,841,368
Gen.22,8159,520,920,401
Gen.23,8000,560,1000,440
Gen.24,7839,601,1080,480
Gen.25,7671,648,1161,520
Gen.26,7495,696,1249,560
Gen.27,7311,744,1344,601
Gen.28,7120,792,1440,648
Gen.29,6927,841,1536,696
Gen.30,6727,896,1633,744
Gen.31,6519,952,1737,792
Gen.32,6303,1008,1848,841
Gen.33,6080,1064,1960,896
Gen.34,5855,1121,2072,952
Gen.35,5623,1184,2185,1008
Gen.36,5383,1248,2305,1064
Gen.37,5135,1312,2432,1121
Gen.38,4880,1376,2560,1184
Gen.39,4623,1441,2688,1248
Gen.40,4359,1512,2817,1312
Gen.41,4087,1584,2953,1376
Gen.42,3807,1656,3096,1441
Gen.43,3520,1728,3240,1512
Gen.44,3231,1801,3384,1584
Gen.45,2935,1880,3529,1656
Gen.46,2631,1960,3681,1728
Gen.47,2319,2040,3840,1801
Gen.48,2000,2120,4000,1880
Gen.49,1880,2000,4160,1960
Gen.50,1960,1880,4120,2040
Gen.51,2040,1960,3880,2120
Gen.52,2120,2040,3840,2000
Gen.53,2000,2120,4000,1880
Gen.54,1880,2000,4160,1960
Gen.55,1960,1880,4120,2040
Gen.56,2040,1960,3880,2120
Gen.57,2120,2040,3840,2000
Gen.58,2000,2120,4000,1880
Gen.59,1880,2000,4160,1960
Gen.60,1960,1880,4120,2040
Gen.61,2040,1960,3880,2120
Gen.62,2120,2040,3840,2000
Gen.63,2000,2120,4000,1880
Gen.64,1880,2000,4160,1960
Gen.65,1960,1880,4120,2040
Gen.66,2040,1960,3880,2120
Gen.67,2120,2040,3840,2000
Gen.68,2000,2120,4000,1880
Gen.69,1880,2000,4160,1960
Gen.70,1960,1880,4120,2040
Gen.71,2040,1960,3880,2120
Gen.72,2120,2040,3840,2000
Gen.73,2000,2120,4000,1880
Gen.74,1880,2000,4160,1960
Gen.75,1960,1880,4120,2040
Gen.76,2040,1960,3880,2120
Gen.77,2120,2040,3840,2000
Gen.78,2000,2120,4000,1880
Gen.79,1880,2000,4160,1960
Gen.80,1960,1880,4120,2040
Gen.81,2040,1960,3880,2120
Gen.82,2120,2040,3840,2000
Gen.83,2000,2120,4000,1880
Gen.84,1880,2000,4160,1960
Gen.85,1960,1880,4120,2040
Gen.86,2040,1960,3880,2120
Gen.87,2120,2040,3840,2000
Gen.88,2000,2120,4000,1880
Gen.89,1880,2000,4160,1960
Gen.90,1960,1880,4120,2040
Gen.91,2040,1960,3880,2120
Gen.92,2120,2040,3840,2000
Gen.93,2000,2120,4000,1880
Gen.94,1880,2000,4160,1960
Gen.95,1960,1880,4120,2040
Gen.96,2040,1960,3880,2120
Gen.97,2120,2040,3840,2000
Gen.98,2000,2120,4000,1880
Gen.99,1880,2000,4160,1960
Gen.100,1960,1880,4120,2040
Gen.101,2040,1960,3880,2120
Gen.102,2120,2040,3840,2000
Gen.103,2000,2120,4000,1880
Gen.104,1880,2000,4160,1960
Gen.105,1960,1880,4120,2040
Gen.106,2040,1960,3880,2120
Gen.107,2120,2040,3840,2000
Gen.108,2000,2120,4000,1880
Gen.109,1880,2000,4160,1960
