Generation,S,E,I,R
Gen.0,9991,8,1,0
Gen.1,9960,31,8,1
Gen.2,9898,63,28,11
Gen.3,9819,90,69,22
Gen.4,9718,123,117,42
Gen.5,9599,161,161,79
Gen.6,9468,210,221,101
Gen.7,9295,274,306,125
Gen.8,9096,324,402,178
Gen.9,8898,376,481,245
Gen.10,8693,450,549,308
Gen.11,8458,543,646,353
Gen.12,8175,636,777,412
Gen.13,7872,715,939,474
Gen.14,7543,803,1090,564
Gen.15,7213,894,1225,668
Gen.16,6866,1015,1374,745
Gen.17,6473,1138,1540,849
Gen.18,6080,1242,1734,944
Gen.19,5650,1374,1921,1055
Gen.20,5217,1488,2099,1196
Gen.21,4788,1625,2309,1278
Gen.22,4269,1797,2522,1412
Gen.23,3770,1911,2765,1554
Gen.24,3260,2064,3006,1670
Gen.25,2848,2082,3187,1883
Gen.26,2726,2005,3286,1983
Gen.27,2579,2130,3249,2042
Gen.28,2438,2183,3301,2078
Gen.29,2318,2198,3489,1995
Gen.30,2120,2193,3515,2172
Gen.31,2221,2071,3457,2251
Gen.32,2261,2211,3383,2145
Gen.33,2145,2261,3436,2158
Gen.34,2158,2145,3598,2099
Gen.35,2099,2158,3535,2208
Gen.36,2208,2099,3460,2233
Gen.37,2233,2208,3404,2155
Gen.38,2155,2233,3475,2137
Gen.39,2137,2155,3605,2103
Gen.40,2103,2137,3490,2270
Gen.41,2270,2103,3382,2245
Gen.42,2245,2270,3394,2091
Gen.43,2091,2245,3487,2177
Gen.44,2177,2091,3569,2163
Gen.45,2163,2177,3462,2198
Gen.46,2198,2163,3414,2225
Gen.47,2225,2198,3452,2125
Gen.48,2125,2225,3499,2151
Gen.49,2151,2125,3587,2137
Gen.50,2137,2151,3493,2219
Gen.51,2219,2137,3392,2252
Gen.52,2252,2219,3441,2088
Gen.53,2088,2252,3529,2131
Gen.54,2131,2088,3593,2188
Gen.55,2188,2131,3480,2201
Gen.56,2201,2188,3375,2236
Gen.57,2236,2201,3457,2106
Gen.58,2106,2236,3506,2152
Gen.59,2152,2106,3536,2206
Gen.60,2206,2152,3495,2147
Gen.61,2147,2206,3427,2220
Gen.62,2220,2147,3497,2136
Gen.63,2136,2220,3487,2157
Gen.64,2157,2136,3455,2252
Gen.65,2252,2157,3432,2159
Gen.66,2159,2252,3412,2177
Gen.67,2177,2159,3515,2149
Gen.68,2149,2177,3505,2169
Gen.69,2169,2149,3458,2224
Gen.70,2224,2169,3462,2145
Gen.71,2145,2224,3446,2185
Gen.72,2185,2145,3512,2158
Gen.73,2158,2185,3494,2163
Gen.74,2163,2158,3457,2222
Gen.75,2222,2163,3461,2154
Gen.76,2154,2222,3447,2177
Gen.77,2177,2154,3502,2167
Gen.78,2167,2177,3462,2194
Gen.79,2194,2167,3455,2184
Gen.80,2184,2194,3516,2106
Gen.81,2106,2184,3515,2195
Gen.82,2195,2106,3506,2193
Gen.83,2193,2195,3442,2170
Gen.84,2170,2193,3463,2174
Gen.85,2174,2170,3553,2103
Gen.86,2103,2174,3504,2219
Gen.87,2219,2103,3445,2233
Gen.88,2233,2219,3403,2145
Gen.89,2145,2233,3456,2166
Gen.90,2166,2145,3590,2099
Gen.91,2099,2166,3516,2219
Gen.92,2219,2099,3407,2275
Gen.93,2275,2219,3390,2116
Gen.94,2116,2275,3451,2158
Gen.95,2158,2116,3564,2162
Gen.96,2162,2158,3510,2170
Gen.97,2170,2162,3470,2198
Gen.98,2198,2170,3436,2196
Gen.99,2196,2198,3411,2195
Gen.100,2195,2196,3491,2118
Gen.101,2118,2195,3508,2179
Gen.102,2179,2118,3508,2195
Gen.103,2195,2179,3467,2159
Gen.104,2159,2195,3474,2172
Gen.105,2172,2159,3528,2141
Gen.106,2141,2172,3496,2191
Gen.107,2191,2141,3470,2198
Gen.108,2198,2191,3454,2157
Gen.109,2157,2198,3447,2198
