Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2476,15,6,3
Gen.2,2456,23,16,5
Gen.3,2432,29,28,11
Gen.4,2402,41,38,19
Gen.5,2362,59,51,28
Gen.6,2318,72,72,38
Gen.7,2270,86,91,53
Gen.8,2221,102,104,73
Gen.9,2164,130,131,75
Gen.10,2087,152,167,94
Gen.11,2016,165,207,112
Gen.12,1939,189,230,142
Gen.13,1864,217,232,187
Gen.14,1798,253,275,174
Gen.15,1674,298,334,194
Gen.16,1564,304,392,240
Gen.17,1473,331,431,265
Gen.18,1355,383,458,304
Gen.19,1249,410,493,348
Gen.20,1142,455,531,372
Gen.21,997,517,588,398
Gen.22,854,541,655,450
Gen.23,733,571,709,487
Gen.24,627,593,759,521
Gen.25,606,542,808,544
Gen.26,592,558,795,555
Gen.27,577,570,771,582
Gen.28,591,568,782,559
Gen.29,559,591,793,557
Gen.30,557,559,805,579
Gen.31,579,557,785,579
Gen.32,579,579,755,587
Gen.33,587,579,789,545
Gen.34,545,587,823,545
Gen.35,545,545,817,593
Gen.36,593,545,795,567
Gen.37,567,593,764,576
Gen.38,576,567,776,581
Gen.39,581,576,803,540
Gen.40,540,581,797,582
Gen.41,582,540,804,574
Gen.42,574,582,805,539
Gen.43,539,574,822,565
Gen.44,565,539,823,573
Gen.45,573,565,774,588
Gen.46,588,573,760,579
Gen.47,579,588,786,547
Gen.48,547,579,804,570
Gen.49,570,547,803,580
Gen.50,580,570,788,562
Gen.51,562,580,785,573
Gen.52,573,562,796,569
Gen.53,569,573,786,572
Gen.54,572,569,785,574
Gen.55,574,572,793,561
Gen.56,561,574,781,584
Gen.57,584,561,781,574
Gen.58,574,584,804,538
Gen.59,538,574,822,566
Gen.60,566,538,806,590
Gen.61,590,566,756,588
Gen.62,588,590,762,560
Gen.63,560,588,801,551
Gen.64,551,560,809,580
